algorithm,repetition,num_tests,input_path_coverage,input_operation_coverage,input_parameter_coverage,input_parameter_value_coverage,output_status_code_class_coverage,output_status_code_coverage,output_response_body_properties_coverage
RANDOM,0,49,100.0,100.0,100.0,58.333333333333336,78.94736842105263,60.0,30.973451327433626
SMARTS,0,66,100.0,100.0,95.34883720930233,50.0,84.21052631578947,57.77777777777777,22.418879056047196
WTS,0,45,100.0,100.0,100.0,66.66666666666666,81.57894736842105,60.0,30.973451327433626
RANDOM,1,45,100.0,100.0,100.0,66.66666666666666,84.21052631578947,60.0,42.0353982300885
SMARTS,1,69,100.0,100.0,90.69767441860465,50.0,84.21052631578947,57.77777777777777,31.858407079646017
WTS,1,44,100.0,100.0,100.0,66.66666666666666,73.68421052631578,57.77777777777777,42.772861356932154
RANDOM,2,41,100.0,100.0,100.0,58.333333333333336,76.31578947368422,55.55555555555556,41.5929203539823
SMARTS,2,66,100.0,100.0,90.69767441860465,41.66666666666667,86.8421052631579,55.55555555555556,37.610619469026545
WTS,2,41,100.0,100.0,97.67441860465115,58.333333333333336,81.57894736842105,60.0,42.33038348082596
RANDOM,3,36,100.0,100.0,100.0,66.66666666666666,78.94736842105263,60.0,42.0353982300885
SMARTS,3,65,100.0,100.0,93.02325581395348,41.66666666666667,81.57894736842105,53.333333333333336,31.563421828908556
WTS,3,44,100.0,100.0,100.0,50.0,76.31578947368422,60.0,35.54572271386431
RANDOM,4,48,100.0,100.0,100.0,58.333333333333336,73.68421052631578,60.0,35.54572271386431
SMARTS,4,67,100.0,100.0,86.04651162790698,16.666666666666664,84.21052631578947,55.55555555555556,21.386430678466077
WTS,4,44,100.0,100.0,100.0,50.0,71.05263157894737,57.77777777777777,42.0353982300885
RANDOM,5,41,100.0,100.0,100.0,58.333333333333336,76.31578947368422,57.77777777777777,42.0353982300885
SMARTS,5,67,100.0,100.0,97.67441860465115,50.0,84.21052631578947,57.77777777777777,34.95575221238938
WTS,5,42,100.0,100.0,100.0,66.66666666666666,71.05263157894737,53.333333333333336,42.47787610619469
RANDOM,6,43,100.0,100.0,100.0,58.333333333333336,76.31578947368422,55.55555555555556,41.5929203539823
SMARTS,6,67,100.0,100.0,88.37209302325581,50.0,81.57894736842105,53.333333333333336,28.023598820058996
WTS,6,46,100.0,100.0,100.0,41.66666666666667,76.31578947368422,57.77777777777777,42.0353982300885
RANDOM,7,43,100.0,100.0,100.0,66.66666666666666,78.94736842105263,60.0,42.0353982300885
SMARTS,7,69,100.0,100.0,90.69767441860465,33.33333333333333,84.21052631578947,57.77777777777777,29.941002949852507
WTS,7,44,100.0,100.0,100.0,58.333333333333336,73.68421052631578,57.77777777777777,38.64306784660767
RANDOM,8,46,100.0,100.0,100.0,58.333333333333336,78.94736842105263,60.0,43.067846607669615
SMARTS,8,66,100.0,100.0,83.72093023255815,16.666666666666664,76.31578947368422,51.11111111111111,24.48377581120944
WTS,8,39,100.0,100.0,100.0,58.333333333333336,76.31578947368422,60.0,32.00589970501475
RANDOM,9,47,100.0,100.0,100.0,66.66666666666666,71.05263157894737,57.77777777777777,42.0353982300885
SMARTS,9,68,100.0,100.0,97.67441860465115,41.66666666666667,84.21052631578947,60.0,33.33333333333333
WTS,9,53,100.0,100.0,100.0,66.66666666666666,73.68421052631578,55.55555555555556,42.772861356932154
