algorithm,repetition,num_tests,input_path_coverage,input_operation_coverage,input_parameter_coverage,input_parameter_value_coverage,output_status_code_class_coverage,output_status_code_coverage,output_response_body_properties_coverage
RANDOM,0,43,100.0,100.0,100.0,66.66666666666666,76.31578947368422,60.0,42.0353982300885
SMARTS,0,66,100.0,100.0,95.34883720930233,50.0,81.57894736842105,48.888888888888886,22.71386430678466
WTS,0,42,100.0,100.0,100.0,58.333333333333336,76.31578947368422,57.77777777777777,32.30088495575221
RANDOM,1,47,100.0,100.0,100.0,58.333333333333336,76.31578947368422,60.0,38.49557522123894
SMARTS,1,65,100.0,100.0,83.72093023255815,41.66666666666667,81.57894736842105,48.888888888888886,24.48377581120944
WTS,1,49,100.0,100.0,100.0,50.0,73.68421052631578,57.77777777777777,35.54572271386431
RANDOM,2,58,100.0,100.0,100.0,58.333333333333336,81.57894736842105,60.0,30.973451327433626
SMARTS,2,62,100.0,100.0,93.02325581395348,25.0,81.57894736842105,57.77777777777777,33.33333333333333
WTS,2,41,100.0,100.0,100.0,50.0,78.94736842105263,57.77777777777777,37.610619469026545
RANDOM,3,45,100.0,100.0,100.0,66.66666666666666,73.68421052631578,53.333333333333336,42.47787610619469
SMARTS,3,68,100.0,100.0,95.34883720930233,25.0,84.21052631578947,60.0,29.20353982300885
WTS,3,46,100.0,100.0,100.0,58.333333333333336,78.94736842105263,60.0,42.0353982300885
RANDOM,4,42,100.0,100.0,100.0,58.333333333333336,78.94736842105263,57.77777777777777,42.92035398230089
SMARTS,4,69,100.0,100.0,93.02325581395348,25.0,86.8421052631579,60.0,31.710914454277283
WTS,4,48,100.0,100.0,100.0,58.333333333333336,84.21052631578947,60.0,37.46312684365782
RANDOM,5,43,100.0,100.0,100.0,50.0,76.31578947368422,57.77777777777777,39.08554572271387
SMARTS,5,65,100.0,100.0,93.02325581395348,33.33333333333333,78.94736842105263,51.11111111111111,25.221238938053098
WTS,5,40,100.0,100.0,100.0,58.333333333333336,81.57894736842105,60.0,35.54572271386431
RANDOM,6,41,100.0,100.0,100.0,50.0,73.68421052631578,55.55555555555556,37.315634218289084
SMARTS,6,64,100.0,100.0,95.34883720930233,50.0,84.21052631578947,53.333333333333336,27.728613569321535
WTS,6,43,100.0,100.0,100.0,58.333333333333336,78.94736842105263,57.77777777777777,41.5929203539823
RANDOM,7,40,100.0,100.0,100.0,66.66666666666666,71.05263157894737,57.77777777777777,37.16814159292036
SMARTS,7,64,100.0,100.0,86.04651162790698,16.666666666666664,81.57894736842105,48.888888888888886,21.238938053097346
WTS,7,39,100.0,100.0,100.0,58.333333333333336,71.05263157894737,55.55555555555556,37.16814159292036
RANDOM,8,38,100.0,100.0,100.0,66.66666666666666,73.68421052631578,57.77777777777777,42.0353982300885
SMARTS,8,68,100.0,100.0,93.02325581395348,50.0,84.21052631578947,57.77777777777777,28.466076696165192
WTS,8,46,100.0,100.0,100.0,66.66666666666666,65.78947368421053,57.77777777777777,33.1858407079646
RANDOM,9,47,100.0,100.0,100.0,66.66666666666666,68.42105263157895,60.0,37.905604719764014
SMARTS,9,66,100.0,100.0,88.37209302325581,25.0,84.21052631578947,57.77777777777777,28.466076696165192
WTS,9,50,100.0,100.0,100.0,58.333333333333336,78.94736842105263,60.0,42.0353982300885
